ENTIDAD,SECTOR,TAMAÑO,AÑO,SOBREVIVIENTES,MUERTOS,NACIMIENTOS
AGUASCALIENTES,COMERCIO,CONCENTRADOS,2020,0.400628406808106,0.599371593191894,0.328401607799538
AGUASCALIENTES,COMERCIO,CONCENTRADOS,2021,0.225470805159671,0.774529194840329,0.226659006032749
AGUASCALIENTES,COMERCIO,CONCENTRADOS,2022,0.442229365971171,0.557770634028829,0.274867122247532
AGUASCALIENTES,COMERCIO,CONCENTRADOS,2023,0.642499984126917,0.357500015873083,0.218792309775250
AGUASCALIENTES,COMERCIO,TP01(0-2 Personas ocupadas),2020,0.557459362638924,0.442540637361075,0.367200854700855
AGUASCALIENTES,COMERCIO,TP01(0-2 Personas ocupadas),2021,0.204146418649258,0.795853581350741,0.248304307974335
AGUASCALIENTES,COMERCIO,TP01(0-2 Personas ocupadas),2022,0.485899642852332,0.514100357147667,0.329916608756081
AGUASCALIENTES,COMERCIO,TP01(0-2 Personas ocupadas),2023,0.642367242118238,0.357632757881761,0.254905277401894
AGUASCALIENTES,COMERCIO,TP02(3-5 Personas ocupadas),2020,0.736457214999246,0.263542785000753,0.186666666666667
AGUASCALIENTES,COMERCIO,TP02(3-5 Personas ocupadas),2021,0.682131159383459,0.317868840616540,0.167653758542141
AGUASCALIENTES,COMERCIO,TP02(3-5 Personas ocupadas),2022,0.566865344227874,0.433134655772125,0.150676110753381
AGUASCALIENTES,COMERCIO,TP02(3-5 Personas ocupadas),2023,0.777314270646829,0.222685729353170,0.180855397148676
AGUASCALIENTES,COMERCIO,TP03(6 y más Personas ocupadas),2020,0.219581894643196,0.780418105356803,0.066115702479339
AGUASCALIENTES,COMERCIO,TP03(6 y más Personas ocupadas),2021,0.987259644150071,0.012740355849928,0.103174603174603
AGUASCALIENTES,COMERCIO,TP03(6 y más Personas ocupadas),2022,0.737471194657335,0.262528805342664,0.054545454545455
AGUASCALIENTES,COMERCIO,TP03(6 y más Personas ocupadas),2023,0.974645894756779,0.025354105243220,0.078125000000000
AGUASCALIENTES,MANUFACTURAS,CONCENTRADOS,2020,0.330972763947732,0.669027236052268,0.231617647058824
AGUASCALIENTES,MANUFACTURAS,CONCENTRADOS,2021,0.249362109993025,0.750637890006975,0.189905362776025
AGUASCALIENTES,MANUFACTURAS,CONCENTRADOS,2022,0.429495776064147,0.570504223935853,0.209933774834437
AGUASCALIENTES,MANUFACTURAS,CONCENTRADOS,2023,0.749430206868929,0.250569793131071,0.163797600417319
AGUASCALIENTES,MANUFACTURAS,TP01(0-2 Personas ocupadas),2020,0.679790543403727,0.320209456596272,0.291333333333333
AGUASCALIENTES,MANUFACTURAS,TP01(0-2 Personas ocupadas),2021,0.876134401370091,0.123865598629908,0.225030084235860
AGUASCALIENTES,MANUFACTURAS,TP01(0-2 Personas ocupadas),2022,0.888151517363698,0.111848482636301,0.308047493403694
AGUASCALIENTES,MANUFACTURAS,TP01(0-2 Personas ocupadas),2023,0.820183840991710,0.179816159008289,0.220012055455093
AGUASCALIENTES,MANUFACTURAS,TP02(3-5 Personas ocupadas),2020,0.557459362638924,0.442540637361075,0.192415730337079
AGUASCALIENTES,MANUFACTURAS,TP02(3-5 Personas ocupadas),2021,0.204146418649258,0.795853581350741,0.168316831683168
AGUASCALIENTES,MANUFACTURAS,TP02(3-5 Personas ocupadas),2022,0.485899642852332,0.514100357147667,0.144219308700834
AGUASCALIENTES,MANUFACTURAS,TP02(3-5 Personas ocupadas),2023,0.642367242118238,0.357632757881761,0.150913423351867
AGUASCALIENTES,MANUFACTURAS,TP03(6 y más Personas ocupadas),2020,0.770325809509064,0.229674190490935,0.126050420168067
AGUASCALIENTES,MANUFACTURAS,TP03(6 y más Personas ocupadas),2021,0.666316557721475,0.333683442278524,0.142857142857143
AGUASCALIENTES,MANUFACTURAS,TP03(6 y más Personas ocupadas),2022,0.703823645811532,0.296176354188467,0.100694444444444
AGUASCALIENTES,MANUFACTURAS,TP03(6 y más Personas ocupadas),2023,0.782052432197328,0.217947567802672,0.105158730158730
AGUASCALIENTES,OTROS SECTORES,CONCENTRADOS,2020,0.330972763947732,0.669027236052268,0.231617647058824
AGUASCALIENTES,OTROS SECTORES,CONCENTRADOS,2021,0.249362109993025,0.750637890006975,0.189905362776025
AGUASCALIENTES,OTROS SECTORES,CONCENTRADOS,2022,0.429495776064147,0.570504223935853,0.209933774834437
AGUASCALIENTES,OTROS SECTORES,CONCENTRADOS,2023,0.749430206868929,0.250569793131071,0.163797600417319
AGUASCALIENTES,SERVICIOS PRIVADOS NO FINANCIEROS,CONCENTRADOS,2020,0.343531935840822,0.656468064159178,0.331268071045023
AGUASCALIENTES,SERVICIOS PRIVADOS NO FINANCIEROS,CONCENTRADOS,2021,0.195309188202543,0.804690811797457,0.220904070362037
AGUASCALIENTES,SERVICIOS PRIVADOS NO FINANCIEROS,CONCENTRADOS,2022,0.400137604948858,0.599862395051141,0.287738419618529
AGUASCALIENTES,SERVICIOS PRIVADOS NO FINANCIEROS,CONCENTRADOS,2023,0.728816311540459,0.271183688459541,0.232356687898089
AGUASCALIENTES,SERVICIOS PRIVADOS NO FINANCIEROS,TP01(0-2 Personas ocupadas),2020,0.218238374146141,0.781761625853858,0.372643324355521
AGUASCALIENTES,SERVICIOS PRIVADOS NO FINANCIEROS,TP01(0-2 Personas ocupadas),2021,0.128329300007487,0.871670699992512,0.245550043770061
AGUASCALIENTES,SERVICIOS PRIVADOS NO FINANCIEROS,TP01(0-2 Personas ocupadas),2022,0.352653397318024,0.647346602681975,0.363451913972677
AGUASCALIENTES,SERVICIOS PRIVADOS NO FINANCIEROS,TP01(0-2 Personas ocupadas),2023,0.922546523298775,0.077453476701225,0.274191827589886
AGUASCALIENTES,SERVICIOS PRIVADOS NO FINANCIEROS,TP02(3-5 Personas ocupadas),2020,0.397040820186382,0.602959179813618,0.258692628650904
AGUASCALIENTES,SERVICIOS PRIVADOS NO FINANCIEROS,TP02(3-5 Personas ocupadas),2021,0.357464606125364,0.642535393874635,0.180466038671294
AGUASCALIENTES,SERVICIOS PRIVADOS NO FINANCIEROS,TP02(3-5 Personas ocupadas),2022,0.543745668043282,0.456254331956717,0.156756756756757
AGUASCALIENTES,SERVICIOS PRIVADOS NO FINANCIEROS,TP02(3-5 Personas ocupadas),2023,0.634927080039733,0.365072919960266,0.199671129903688
AGUASCALIENTES,SERVICIOS PRIVADOS NO FINANCIEROS,TP03(6 y más Personas ocupadas),2020,0.747714144413996,0.252285855586003,0.155963302752294
AGUASCALIENTES,SERVICIOS PRIVADOS NO FINANCIEROS,TP03(6 y más Personas ocupadas),2021,0.783942127885870,0.216057872114129,0.120805369127517
AGUASCALIENTES,SERVICIOS PRIVADOS NO FINANCIEROS,TP03(6 y más Personas ocupadas),2022,0.561331179871502,0.438668820128497,0.070652173913044
AGUASCALIENTES,SERVICIOS PRIVADOS NO FINANCIEROS,TP03(6 y más Personas ocupadas),2023,0.266495325484436,0.733504674515563,0.105740181268882
AGUASCALIENTES,TODOS LOS SECTORES,TP01(0-2 Personas ocupadas),2020,0.455895859653371,0.544104140346628,0.360280115486209
AGUASCALIENTES,TODOS LOS SECTORES,TP01(0-2 Personas ocupadas),2021,0.288353475628583,0.711646524371417,0.243073175682533
AGUASCALIENTES,TODOS LOS SECTORES,TP01(0-2 Personas ocupadas),2022,0.618254333208858,0.381745666791141,0.332495613827114
AGUASCALIENTES,TODOS LOS SECTORES,TP01(0-2 Personas ocupadas),2023,0.780167517685081,0.219832482314918,0.258919690351598
AGUASCALIENTES,TODOS LOS SECTORES,TP04(11 y más Personas ocupadas),2020,0.467885309008070,0.532114690991929,0.114886731391586
AGUASCALIENTES,TODOS LOS SECTORES,TP04(11 y más Personas ocupadas),2021,0.399846049614643,0.600153950385356,0.099088838268793
AGUASCALIENTES,TODOS LOS SECTORES,TP04(11 y más Personas ocupadas),2022,0.547489930891025,0.452510069108974,0.059084194977843
AGUASCALIENTES,TODOS LOS SECTORES,TP04(11 y más Personas ocupadas),2023,0.616516290968020,0.383483709031980,0.065511640498105
AGUASCALIENTES,TODOS LOS SECTORES,TP02(3-5 Personas ocupadas),2020,0.612471118837351,0.387528881162648,0.214758269720102
AGUASCALIENTES,TODOS LOS SECTORES,TP02(3-5 Personas ocupadas),2021,0.771731317920451,0.228268682079548,0.171127173276030
AGUASCALIENTES,TODOS LOS SECTORES,TP02(3-5 Personas ocupadas),2022,0.627049547214206,0.372950452785793,0.147354219757158
AGUASCALIENTES,TODOS LOS SECTORES,TP02(3-5 Personas ocupadas),2023,0.628517987020531,0.371482012979468,0.184404439884339
AGUASCALIENTES,TODOS LOS SECTORES,TP03(6-10 Personas ocupadas),2020,0.774183227152300,0.225816772847699,0.151174668028601
AGUASCALIENTES,TODOS LOS SECTORES,TP03(6-10 Personas ocupadas),2021,0.516976714342798,0.483023285657201,0.130271084337349
AGUASCALIENTES,TODOS LOS SECTORES,TP03(6-10 Personas ocupadas),2022,0.812909432304243,0.187090567695756,0.076884167931209
AGUASCALIENTES,TODOS LOS SECTORES,TP03(6-10 Personas ocupadas),2023,0.480366800176790,0.519633199823209,0.104520679705034
AGUASCALIENTES,TODOS LOS SECTORES,CONCENTRADOS,2020,0.392966076845919,0.607033923154081,0.315548088275361
AGUASCALIENTES,TODOS LOS SECTORES,CONCENTRADOS,2021,0.229906920779869,0.770093079220131,0.216880613840503
AGUASCALIENTES,TODOS LOS SECTORES,CONCENTRADOS,2022,0.425500097899275,0.574499902100725,0.259749654044534
AGUASCALIENTES,TODOS LOS SECTORES,CONCENTRADOS,2023,0.700310396780399,0.299689603219601,0.213576535381351
BAJA CALIFORNIA,COMERCIO,TP01(0-2 Personas ocupadas),2020,0.272558812442313,0.727441187557686,0.271130309575234
